deal_id,acquirer,target,acquirer_ticker,announce_date,decision_date,close_or_termination_date,status,deal_value_usd_b,sector,deal_type,payment_type,cross_border,premium_pct,regulatory_risk,notes,primary_source,source_page,citation_count,source_quality_score
msft_dynamical_systems_research_1986_487ee0e7,Microsoft,Dynamical Systems Research,MSFT,1986-06-20,1986-06-20,1986-06-20,completed,,Software,horizontal,unknown,no,25,low,Operating systems,https://www.proquest.com/docview/397973942,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,1,0.65
msft_forethought_inc_1987_48e52098,Microsoft,"Forethought, Inc.",MSFT,1987-07-30,1987-07-30,1987-07-30,completed,,Software,horizontal,unknown,no,25,low,Computer software,https://www.nytimes.com/1987/07/31/business/company-news-microsoft-buys-software-unit.html,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,1,0.65
aapl_network_innovations_1988_53352611,Apple,Network Innovations,AAPL,1988-03-02,1988-03-02,1988-03-02,completed,,Technology,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090417010528/http://www.alacrastore.com/storecontent/Thomson_M%26A/Apple_Computer_Inc_acquires_Network_Innovations_Corp-21778020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,2,0.70
aapl_orion_network_systems_1988_cef1a830,Apple,Orion Network Systems,AAPL,1988-06-07,1988-06-07,1988-06-07,completed,,Technology,horizontal,unknown,no,25,low,Computer Software,https://web.archive.org/web/20090511213913/http://www.alacrastore.com/storecontent/Thomson_M%26A/Apple_Computer_Inc_acquires_Orion_Network_Systems_Inc-24111020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,2,0.70
aapl_styleware_note_1_1988_61edfa82,Apple,Styleware [ note 1 ],AAPL,1988-06-27,1988-06-27,1988-06-27,completed,,Technology,horizontal,unknown,no,25,low,Computer software,https://web.archive.org/web/20090511212118/http://www.alacrastore.com/storecontent/Thomson_M%26A/Claris_Corp_Apple_Computer_acquires_Styleware_Inc-25405020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,2,0.70
aapl_nashoba_systems_note_1_1988_ed4e066e,Apple,Nashoba Systems [ note 1 ],AAPL,1988-07-11,1988-07-11,1988-07-11,completed,,Technology,horizontal,unknown,no,25,low,Computer software,https://web.archive.org/web/20090511215416/http://www.alacrastore.com/storecontent/Thomson_M%26A/Claris_Corp_Apple_Computer_acquires_Nashoba_Systems_Inc-102005020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,2,0.70
intc_interactive_multimedia_general_electric_1988_1880075c,Intel,Interactive multimedia ( General Electric ),INTC,1988-10-12,1988-10-12,1988-10-12,completed,,Semiconductors,horizontal,unknown,yes,25,medium,United States,https://www.proquest.com/docview/426968618,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
aapl_coral_software_1989_ca2f01b6,Apple,Coral Software,AAPL,1989-01-03,1989-01-03,1989-01-03,completed,,Technology,horizontal,unknown,no,25,low,Computer software,https://web.archive.org/web/20090511213845/http://www.alacrastore.com/storecontent/Thomson_M%26A/Apple_Computer_Inc_acquires_Coral_Software_Corp-110260020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,4,0.70
intc_computer_networking_1989_39ab1b82,Intel,Computer networking,INTC,1989-07-06,1989-07-06,1989-07-06,completed,,Semiconductors,horizontal,unknown,yes,25,medium,United States,https://www.proquest.com/docview/398091602,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
msft_consumers_software_1991_2df6e443,Microsoft,Consumers Software,MSFT,1991-03-31,1991-03-31,1991-03-31,completed,,Software,horizontal,unknown,yes,25,medium,Software,https://web.archive.org/web/20090803083105/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Consumers_Software_Inc-195731040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
intc_computer_networking_1991_f33e5ead,Intel,Computer networking,INTC,1991-05-07,1991-05-07,1991-05-07,completed,,Semiconductors,horizontal,unknown,yes,25,medium,United States,https://www.proquest.com/docview/398229402,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
msft_fox_software_1992_eeafa80a,Microsoft,Fox Software,MSFT,1992-06-29,1992-06-29,1992-06-29,completed,,Software,horizontal,unknown,no,25,low,PC database software,https://web.archive.org/web/20090803101138/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Fox_Software_Inc-250158020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,3,0.70
msft_softimage_1994_2e089ce4,Microsoft,Softimage,MSFT,1994-02-28,1994-02-28,1994-02-28,completed,,Software,horizontal,unknown,yes,25,medium,Wholesale 3-D visualization software,https://web.archive.org/web/20090721012118/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Softimage_Co-391700040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_altamira_software_1994_043bfe49,Microsoft,Altamira Software,MSFT,1994-09-27,1994-09-27,1994-09-27,completed,,Software,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090803111528/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Altamira_Software_Corp-428428020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
intc_computer_networking_1994_1633cf94,Intel,Computer networking,INTC,1994-10-14,1994-10-14,1994-10-14,completed,,Semiconductors,horizontal,unknown,yes,25,medium,Israel,https://www.intc.com/filings-reports/all-sec-filings/content/0000050863-95-000001/EX-99.txt,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
msft_nextbase_1994_2ed4ba9c,Microsoft,NextBase,MSFT,1994-11-01,1994-11-01,1994-11-01,completed,,Software,horizontal,unknown,yes,25,medium,Software,https://web.archive.org/web/20090803093844/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_NextBase_Ltd-433662040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_one_tree_software_1994_897aa8a1,Microsoft,One Tree Software,MSFT,1994-11-15,1994-11-15,1994-11-15,completed,,Software,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090803083154/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_One_Tree_Software-435738020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_rendermorphics_1995_f23fee00,Microsoft,RenderMorphics,MSFT,1995-02-23,1995-02-23,1995-02-23,completed,,Software,horizontal,unknown,no,25,low,3D graphics hardware,https://web.archive.org/web/20090803105623/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_RenderMorphics_Ltd-453450040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_network_managers_1995_24b52ecc,Microsoft,Network Managers,MSFT,1995-07-10,1995-07-10,1995-07-10,completed,,Software,horizontal,unknown,yes,25,medium,Systems design,https://web.archive.org/web/20090803083147/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Network_Managers_PLC-494141040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_the_blue_ribbon_soundworks_1995_6e056281,Microsoft,The Blue Ribbon SoundWorks,MSFT,1995-10-17,1995-10-17,1995-10-17,completed,,Software,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090803105552/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Blue_Ribbon_SoundWorks_Ltd-502715020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_netwise_1995_4f97e604,Microsoft,Netwise,MSFT,1995-11-06,1995-11-06,1995-11-06,completed,,Software,horizontal,unknown,no,25,low,Computer software,https://web.archive.org/web/20090803083142/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Netwise_Inc-515631020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_bruce_artwick_organization_1995_036e57ed,Microsoft,Bruce Artwick Organization,MSFT,1995-12-12,1995-12-12,1995-12-12,completed,,Software,horizontal,unknown,no,25,low,Programming,https://web.archive.org/web/20090804183353/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Bruce_Artwick_Organization-522998020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_vermeer_technologies_1996_7aa2ae04,Microsoft,Vermeer Technologies,MSFT,1996-01-16,1996-01-16,1996-01-16,completed,,Software,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090803093853/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Vermeer_Technologies-530567020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_vga_animation_software_div_note_1_1996_aec2a9af,Microsoft,VGA-Animation Software Div [ note 1 ],MSFT,1996-03-06,1996-03-06,1996-03-06,completed,,Software,horizontal,unknown,yes,25,medium,Software,https://web.archive.org/web/20090803103101/http://www.alacrastore.com/storecontent/Thomson_M%26A/Fox_Software_Inc_acquires_VGA_Animation_Software_Div_from_VGA-835776040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_colusa_software_1996_4f0d2953,Microsoft,Colusa Software,MSFT,1996-03-12,1996-03-12,1996-03-12,completed,,Software,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090803090419/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Colusa_Software_Inc-542148020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_exos_1996_77b45fbc,Microsoft,Exos,MSFT,1996-04-16,1996-04-16,1996-04-16,completed,,Software,horizontal,unknown,no,25,low,Video game controllers,https://web.archive.org/web/20090803083111/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Exos_Inc-548757020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_aspect_software_engineering_1996_4c4565fb,Microsoft,Aspect Software Engineering,MSFT,1996-04-23,1996-04-23,1996-04-23,completed,,Software,horizontal,unknown,no,25,low,Computer software,https://web.archive.org/web/20090803090414/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Aspect_Software_Engineering-542151020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_eshop_inc_1996_4d32ec2c,Microsoft,eShop Inc.,MSFT,1996-06-11,1996-06-11,1996-06-11,completed,,Software,horizontal,unknown,no,25,low,Software,https://web.archive.org/web/20090803105753/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_eShop_Inc-558953020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_electric_gravity_1996_2d6aa0d5,Microsoft,Electric Gravity,MSFT,1996-06-17,1996-06-17,1996-06-17,completed,,Software,horizontal,unknown,no,25,low,Electronic games,https://web.archive.org/web/20090803111543/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Electric_Gravity_Inc-560237020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_panorama_software_sys_on_line_note_2_1996_f26322db,Microsoft,Panorama Software Sys-On-Line [ note 2 ],MSFT,1996-11-01,1996-11-01,1996-11-01,completed,,Software,horizontal,unknown,yes,25,medium,Software,https://web.archive.org/web/20090803105617/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Panorama_Software_Sys_On_Line_from_Panorama_Software_Systems-602611040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
intc_computer_networking_1997_aed26024,Intel,Computer networking,INTC,1997-01-17,1997-01-17,1997-01-17,completed,,Semiconductors,horizontal,unknown,yes,25,medium,Denmark,https://www.proquest.com/docview/208117693,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,2,0.65
msft_netcarta_1997_4dfceca0,Microsoft,NetCarta,MSFT,1997-02-03,1997-02-03,1997-02-03,completed,,Software,horizontal,unknown,no,25,low,Internet software,https://web.archive.org/web/20090803093837/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_NetCarta_Corp_CMG_Information_from_CMGI_Inc-615199020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
aapl_next_1997_caf70cfc,Apple,NeXT,AAPL,1997-02-07,1997-02-07,1997-02-07,completed,,Technology,horizontal,unknown,no,25,low,Unix-like hardware and software platform,https://web.archive.org/web/20090511213855/http://www.alacrastore.com/storecontent/Thomson_M%26A/Apple_Computer_Inc_acquires_NeXT_Computer_Inc-617821020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,2,0.70
msft_interse_1997_9d89ff0a,Microsoft,Interse,MSFT,1997-03-03,1997-03-03,1997-03-03,completed,,Software,horizontal,unknown,no,25,low,Internet software,https://web.archive.org/web/20100106120647/http://www.microsoft.com/presspass/press/1997/Mar97/interspr.mspx,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_webtv_networks_1997_5e4d83a5,Microsoft,WebTV Networks,MSFT,1997-04-30,1997-04-30,1997-04-30,completed,,Software,horizontal,unknown,no,25,low,Internet service provider,https://web.archive.org/web/20090803101442/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_remaining_interest_in_WebTV_Networks_Inc-654557020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_dimension_x_1997_68a634eb,Microsoft,Dimension X,MSFT,1997-05-07,1997-05-07,1997-05-07,completed,,Software,horizontal,unknown,no,25,low,Java-based platforms,https://web.archive.org/web/20090803105607/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Dimension_X_Inc-662461020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_cooper_peters_1997_4994eb4d,Microsoft,Cooper & Peters,MSFT,1997-06-13,1997-06-13,1997-06-13,completed,,Software,horizontal,unknown,no,25,low,Programming,https://web.archive.org/web/20090803093817/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Cooper_Peters_Inc-670109020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
msft_linkage_software_1997_55e37bfc,Microsoft,LinkAge Software,MSFT,1997-06-30,1997-06-30,1997-06-30,completed,,Software,horizontal,unknown,yes,25,medium,Internet software development,https://web.archive.org/web/20090803111604/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_LinkAge_Software_Inc-675364040,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
intc_display_chipsets_1997_63235bc1,Intel,Display chipsets,INTC,1997-07-27,1997-07-27,1997-07-27,completed,,Semiconductors,horizontal,unknown,yes,25,medium,United States,https://www.tampabay.com/archive/1997/07/29/intel-cuts-chip-prices-buys-company/,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
msft_vxtreme_1997_843d6f80,Microsoft,VXtreme,MSFT,1997-08-05,1997-08-05,1997-08-05,completed,,Software,horizontal,unknown,no,25,low,Internet video software,https://web.archive.org/web/20090803101224/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_VXtreme_Inc-685500020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
aapl_power_computing_corporation_1997_2e059fcf,Apple,Power Computing Corporation,AAPL,1997-09-02,1997-09-02,1997-09-02,completed,,Technology,horizontal,unknown,no,25,low,Macintosh clones,https://web.archive.org/web/20090511212050/http://www.alacrastore.com/storecontent/Thomson_M%26A/Apple_Computer_Inc_acquires_Power_Computing_Clone_Making_from_Power_Computing_Corp-692092020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Apple,3,0.70
intc_peripherals_and_modems_1997_01cc9dd5,Intel,Peripherals and modems,INTC,1997-09-25,1997-09-25,1997-09-25,completed,,Semiconductors,horizontal,unknown,yes,25,medium,United States,https://www.proquest.com/docview/227503149,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
intc_chipsets_1997_96a97cb0,Intel,Chipsets,INTC,1997-09-30,1997-09-30,1997-09-30,completed,,Semiconductors,horizontal,unknown,yes,25,medium,United States,https://www.cnet.com/tech/tech-industry/intel-acquires-chipmaker-corollary/,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Intel,1,0.65
msft_hotmail_1997_ad45bb17,Microsoft,Hotmail,MSFT,1997-12-31,1997-12-31,1997-12-31,completed,,Software,horizontal,unknown,no,25,low,Internet software,https://web.archive.org/web/20090803090425/http://www.alacrastore.com/storecontent/Thomson_M%26A/Microsoft_Corp_acquires_Hotmail_Corp_Microsoft_Corp-715327020,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,2,0.70
sap_amc_development_1998_0572b018,SAP,AMC Development,SAP,1998-01-01,1998-01-01,1998-01-01,completed,,Software,horizontal,unknown,no,25,low,,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_SAP,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_SAP,0,0.50
sap_ofek_tech_1998_49723a14,SAP,OFEK-Tech,SAP,1998-01-01,1998-01-01,1998-01-01,completed,,Software,horizontal,unknown,yes,25,medium,,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_SAP,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_SAP,0,0.50
msft_flash_communications_1998_5d2b9c7f,Microsoft,Flash Communications,MSFT,1998-02-23,1998-02-23,1998-02-23,completed,,Software,horizontal,unknown,no,25,low,Enterprise instant messaging software,https://web.archive.org/web/20110517073205/http://www.microsoft.com/investor/Stock/AcquisitonHistory/FY98/default.aspx,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Microsoft,3,0.70
