deal_id,acquirer,target,acquirer_ticker,announce_date,decision_date,close_or_termination_date,status,deal_value_usd_b,sector,deal_type,payment_type,cross_border,premium_pct,regulatory_risk,notes,primary_source
msft_atvi_2022,Microsoft,Activision Blizzard,MSFT,2022-01-18,2022-01-18,2023-10-13,completed,68.7,Software,horizontal,cash,no,45,high,"Large gaming deal with prolonged UK/US/EU antitrust scrutiny.",https://news.microsoft.com/2022/01/18/microsoft-to-acquire-activision-blizzard/
avgo_vmw_2022,Broadcom,VMware,AVGO,2022-05-26,2022-05-26,2023-11-22,completed,69.0,Software,horizontal,cash,no,44,high,"Infrastructure software consolidation and heavy regulatory review.",https://www.broadcom.com/company/news/financial-releases/60286
amd_xlnx_2020,AMD,Xilinx,AMD,2020-10-27,2020-10-27,2022-02-14,completed,35.0,Semiconductors,horizontal,stock,no,24,medium,"Strategic data center and adaptive computing expansion.",https://ir.amd.com/news-events/press-releases/detail/971/amd-to-acquire-xilinx-creating-the-industrys-high-performance
crm_work_2020,Salesforce,Slack,CRM,2020-12-01,2020-12-01,2021-07-21,completed,27.7,Software,horizontal,stock,no,54,low,"Enterprise collaboration platform expansion.",https://investor.salesforce.com/press-releases/press-release-details/2020/Salesforce-Signs-Definitive-Agreement-to-Acquire-Slack/default.aspx
orcl_cern_2021,Oracle,Cerner,ORCL,2021-12-20,2021-12-20,2022-06-08,completed,28.3,Healthcare IT,horizontal,cash,no,16,low,"Move into healthcare data and workflows.",https://www.oracle.com/news/announcement/oracle-buys-cerner-2021-12-20/
amzn_mgm_2021,Amazon,MGM,AMZN,2021-05-26,2021-05-26,2022-03-17,completed,8.45,Media,conglomerate,cash,no,40,medium,"Content and studio library acquisition.",https://press.aboutamazon.com/2021/5/amazon-and-mgm-have-signed-a-merger-agreement
nvda_arm_2020,NVIDIA,Arm,NVDA,2020-09-13,2020-09-13,2022-02-07,terminated,40.0,Semiconductors,vertical,stock,yes,20,high,"Regulatory opposition led to termination.",https://nvidianews.nvidia.com/news/nvidia-and-softbank-group-announce-termination-of-nvidia-s-acquisition-of-arm-limited
v_plaid_2020,Visa,Plaid,V,2020-01-13,2020-01-13,2021-01-12,terminated,5.3,Fintech,vertical,cash,no,30,high,"DOJ challenge resulted in deal abandonment.",https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.17524.html
goog_fit_2019,Google,Fitbit,GOOG,2019-11-01,2019-11-01,2021-01-14,completed,2.1,Wearables,vertical,cash,no,19,medium,"Consumer hardware and health data expansion.",https://blog.google/inside-google/company-announcements/fitbit/
dis_foxa_2017,Disney,21st Century Fox,DIS,2017-12-14,2017-12-14,2019-03-20,completed,71.3,Media,horizontal,stock,no,36,high,"Major media asset consolidation.",https://thewaltdisneycompany.com/disney-21st-century-fox-transaction/
cvs_aetna_2017,CVS Health,Aetna,CVS,2017-12-03,2017-12-03,2018-11-28,completed,69.0,Healthcare,vertical,cash_stock,no,29,medium,"Vertical integration of payer and retail pharmacy.",https://www.cvshealth.com/news/company-news/cvs-health-completes-acquisition-of-aetna-marking-the-beginning-of-a-new-day-in-health-care.html
t_twx_2016,AT&T,Time Warner,T,2016-10-22,2016-10-22,2018-06-14,completed,85.4,Telecom & Media,vertical,cash_stock,no,35,high,"Large vertical media telecom merger with litigation.",https://about.att.com/story/att_completes_acquisition_of_time_warner_inc.html
tmus_s_2018,T-Mobile,Sprint,TMUS,2018-04-29,2018-04-29,2020-04-01,completed,26.0,Telecom,horizontal,stock,no,27,high,"4-to-3 wireless merger with remedy package.",https://www.t-mobile.com/news/_admin/uploads/2020/04/T-Mobile-Completes-Merger-with-Sprint-to-Create-the-New-T-Mobile.pdf
ibm_rht_2018,IBM,Red Hat,IBM,2018-10-28,2018-10-28,2019-07-09,completed,34.0,Software,horizontal,cash,no,63,medium,"Hybrid cloud acceleration.",https://newsroom.ibm.com/2018-10-28-IBM-To-Acquire-Red-Hat-for-34-Billion-Redefining-Cloud-Market-for-Business
pfe_sgen_2023,Pfizer,Seagen,PFE,2023-03-13,2023-03-13,2023-12-14,completed,43.0,Biopharma,horizontal,cash,no,33,medium,"Oncology portfolio expansion.",https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-acquisition-seagen
xom_pxd_2023,Exxon Mobil,Pioneer Natural Resources,XOM,2023-10-11,2023-10-11,2024-05-03,completed,59.5,Energy,horizontal,stock,no,18,medium,"Scale in Permian basin production.",https://corporate.exxonmobil.com/news/news-releases/2023/1011_exxonmobil-announces-merger-with-pioneer-natural-resources
adbe_figma_2022,Adobe,Figma,ADBE,2022-09-15,2022-09-15,2023-12-18,terminated,20.0,Software,horizontal,cash_stock,no,50,high,"Regulatory pressure in UK and EU preceded termination.",https://news.adobe.com/news/news-details/2023/Adobe-and-Figma-Mutually-Agree-to-Terminate-Pending-Transaction/default.aspx
csco_splk_2023,Cisco,Splunk,CSCO,2023-09-21,2023-09-21,2024-03-18,completed,28.0,Software,horizontal,cash,no,31,medium,"Security and observability platform acquisition.",https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2024/m03/cisco-completes-acquisition-of-splunk.html
qcom_nxpi_2016,Qualcomm,NXP Semiconductors,QCOM,2016-10-27,2016-10-27,2018-07-25,terminated,44.0,Semiconductors,horizontal,cash,yes,11,high,"Lapsed after extended Chinese regulatory review.",https://www.qualcomm.com/news/releases/2018/07/qualcomm-and-nxp-announce-termination-acquisition-agreement
